brand,model,model_year,milage,fuel_type,price
Ford,Utility Police Interceptor Base,2013,82076.34,E85 Flex Fuel,854900
Hyundai,Palisade SEL,2021,55911.69,Gasoline,3154415
Lexus,RX 350 RX 350,2022,36004.15,Gasoline,4531634
INFINITI,Q50 Hybrid Sport,2015,143070.33,Hybrid,1286500
Audi,Q3 45 S line Premium Plus,2021,15827.86,Gasoline,2904917
Acura,ILX 2.4L,2016,219509.15,Gasoline,1228234
Audi,S3 2.0T Premium Plus,2017,135184.56,Gasoline,2573000
BMW,740 iL,2001,389460.28,Gasoline,605900
Lexus,RC 350 F Sport,2021,37716.49,Gasoline,3479941
Tesla,Model X Long Range Plus,2020,54717.56,,5805850
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,44430.66,Gasoline,6133451
Aston,Martin DBS Superleggera,2019,36644.67,Gasoline,15322298
Toyota,Supra 3.0 Premium,2021,20116.75,Gasoline,4440500
Lincoln,Aviator Reserve AWD,2022,29283.55,Gasoline,5146000
Jaguar,F-TYPE,2020,25593.33,Gasoline,3983834
Land,Rover LR4 HSE,2013,128425.33,Gasoline,2489170
Mercedes-Benz,Metris Base,2021,2711.74,Gasoline,20750000
Dodge,Challenger SXT,2013,98288.83,Gasoline,1394400
Nissan,350Z Enthusiast,2003,119091.16,Gasoline,913000
Jaguar,F-TYPE R,2018,56729.24,Gasoline,5706250
Genesis,GV70 3.5T Sport,2023,8690.44,Gasoline,4980000
Chevrolet,S-10 LS,2000,214862.98,E85 Flex Fuel,373500
BMW,440 Gran Coupe 440i xDrive,2020,41826.75,Gasoline,3203634
Ford,F-150 XLT,2023,4543.17,Gasoline,4855832
Chevrolet,Suburban RST,2021,83685.68,Gasoline,5063000
Hyundai,Elantra N Base,2022,18748.81,Gasoline,2680900
Nissan,Sentra SR,2016,155367.29,Gasoline,1161834
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,28163.45,Gasoline,4979585
BMW,650 Gran Coupe i xDrive,2015,111044.46,Gasoline,2133100
Audi,Q5 2.0T Premium Plus,2017,131772.76,E85 Flex Fuel,1774125
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,46348.99,Gasoline,3984000
Dodge,Ram 1500 Laramie Mega Cab,2006,483096.51,Gasoline,904700
BMW,i3 120Ah w/Range Extender,2020,56383.23,Hybrid,2074834
Kia,Sorento SX,2011,275197.14,Gasoline,497917
Lexus,LX 570 Base,2016,191028.66,Gasoline,3892700
Jeep,New Compass Trailhawk,2017,191511.46,Gasoline,1319700
BMW,340 i,2018,71231,Gasoline,2788634
Audi,A4 2.0T Premium Plus quattro,2012,202092.87,Gasoline,746917
Hyundai,Tucson SE,2007,26071.31,Gasoline,680600
BMW,Z4 sDrive28i,2014,112653.8,Gasoline,1660000
Bentley,Continental GTC Base,2011,32508.67,E85 Flex Fuel,6635850
Honda,Passport Elite,2023,4792.61,Gasoline,3776334
Dodge,Sprinter 2500,2007,305322.38,Diesel,1162000
BMW,M850 i xDrive,2019,16011.32,Gasoline,6291234
Lucid,Air Grand Touring,2022,5716.38,,9959917
Audi,A7 Premium,2012,86904.36,Gasoline,3061040
Chevrolet,Silverado 1500 Custom Trail Boss,2021,82641.22,Gasoline,3581201
MINI,Convertible John Cooper Works,2017,39074.78,Gasoline,2407000
Toyota,Avalon Touring,2016,143469.44,Gasoline,1452500
Porsche,Cayenne Platinum Edition,2017,117551.02,Gasoline,2572170
Mercedes-Benz,AMG C 63 S,2017,96560.4,Gasoline,4357500
Honda,CR-V EX-L,2016,118365.35,Gasoline,1730384
Hummer,H2 Base,2005,178475.81,Gasoline,1618500
Porsche,911 Carrera S,2013,62764.26,Gasoline,6059000
Mercedes-Benz,CLA-Class CLA 250,2016,193120.8,Gasoline,1643400
Chrysler,300 Touring,2009,216620.38,Gasoline,622500
Nissan,Rogue SV,2023,1760.62,Gasoline,2572917
Audi,A3 2.0T,2010,134379.89,Gasoline,539500
Ford,Mustang GT Premium,2014,59642.14,Gasoline,2365500
Acura,RL Technology,2010,157232.52,Gasoline,912585
Volvo,XC90 Hybrid T8 R-Design,2018,64373.6,Plug-In Hybrid,3486000
Audi,R8 5.2 V10,2018,14387.5,Gasoline,12026700
Mercedes-Benz,GLK-Class GLK 350,2014,299337.24,Gasoline,830000
Toyota,C-HR LE,2021,21211.1,Gasoline,1991834
Lexus,IS 350 Base,2014,167371.36,Gasoline,1743000
BMW,X4 M40i,2023,13679.39,Hybrid,5635700
BMW,M4 CS,2019,30688.5,Gasoline,5809834
Cadillac,CT5 Premium Luxury,2023,9800.88,Gasoline,3892700
Lucid,Air Grand Touring,2022,7885.77,,8217000
Audi,A5 2.0T Premium Plus,2019,76480.66,Gasoline,2573000
Chrysler,300C SRT8,2006,69201.62,Gasoline,1659585
Bentley,Continental GT W12,2017,23631.55,Gasoline,10790000
BMW,M4 Base,2019,93019.85,Gasoline,4647917
